DIRE,LINEA,STOP_ID
CORDOBA AV. 4859,151,1000086
CORDOBA AV. 4859,168,1000086
NUEVA YORK 4224,105,1005465
DEL LIBERTADOR AV. 6250,15,1002096
DEL LIBERTADOR AV. 6250,29,1002096
"LARRALDE, CRISOLOGO AV. 5187",110,1006607
"LARRALDE, CRISOLOGO AV. 5187",71,1006607
OLAZABAL AV. 4920,90,1004767
ALVAREZ THOMAS AV. 2091,112,1003500
TUCUMAN 987,23,1001215
TUCUMAN 987,6,1001215
"VIALE, LUIS 759",24,1003957
NAZARRE 5895,109,1004561
CASTRO BARROS 1681,160,1001497
"PERON, EVA AV. 1448",56,1003521
RIVADAVIA AV. 8981,63,1006066
"DE LA TORRE, LISANDRO AV. 2106",180,1006230
"ZUFRIATEGUI, JUAN 1586",21,1005900
CABILDO AV. y RAMALLO sobre el metrobus,168,20427
CABILDO AV. y RAMALLO sobre el metrobus,184,20427
CABILDO AV. y RAMALLO sobre el metrobus,60,20427
TRONADOR 4120,76,1003384
ARCOS 2387,114,1007280
CRAMER 2916,151,1003444
"OBLIGADO RAFAEL, AV.COSTANERA 3460",160,1001936
"OBLIGADO RAFAEL, AV.COSTANERA 3460",37,1001936
"OBLIGADO RAFAEL, AV.COSTANERA 2281",33,1001927
"OBLIGADO RAFAEL, AV.COSTANERA 2281",45,1001927
DEL LIBERTADOR AV. y GODOY CRUZ sobre el metrobus,34,2509
"ALBARELLOS AV. y ARTIGAS, JOSE GERVASIO, GRAL. sobre el metrobus",110,14567
"ALBARELLOS AV. y ARTIGAS, JOSE GERVASIO, GRAL. sobre el metrobus",169,14567
"PAZ, GRAL. AV. COLECTORA 5314",28,1004215
FRANCO y NAZCA sobre el metrobus,110,3264
FITZ ROY 1808,108,1000897
FITZ ROY 1808,111,1000897
LAS HERAS GENERAL AV. 2914,60,1000505
LAS HERAS GENERAL AV. 2914,95,1000505
CORDOBA AV. 5981,151,1000097
CORDOBA AV. 5981,168,1000097
THAMES 2038,55,1000656
MONTENEGRO y TRONADOR sobre el metrobus,123,3785
DEL LIBERTADOR AV. y SUIPACHA sobre el metrobus,100,14263
DEL LIBERTADOR AV. y SUIPACHA sobre el metrobus,61,14263
DEL LIBERTADOR AV. y SUIPACHA sobre el metrobus,70,14263
"PAZ, GRAL. AV. sobre el metrobus",161,7491
"PAZ, GRAL. AV. sobre el metrobus",21,7491
"PAZ, GRAL. AV. sobre el metrobus",28,7491
CORDOBA AV. 4267,168,1000080
"SCALABRINI ORTIZ, RAUL AV. 779",110,1004017
"SCALABRINI ORTIZ, RAUL AV. 779",57,1004017
CORDOBA AV. 3885,140,1001925
CORDOBA AV. 3137,140,1000460
"ANCHORENA, TOMAS MANUEL DE, DR. y CORDOBA AV. sobre el metrobus",109,4959
CORDOBA AV. 731,45,1001588
CORDOBA AV. 731,9,1001588
"ARAOZ y RAMIREZ DE VELASCO, JUAN sobre el metrobus",127,5083
CAMARGO y LAVALLEJA sobre el metrobus,124,5618
CAMARGO y LAVALLEJA sobre el metrobus,65,5618
CAMARGO y LAVALLEJA sobre el metrobus,71,5618
CAMARGO y LAVALLEJA sobre el metrobus,92,5618
CAMARGO y LAVALLEJA sobre el metrobus,99,5618
NAZCA AV. 2826,84,1004061
GUALEGUAYCHU 3108,134,1005131
RIVADAVIA AV. 363,22,1001010
RIVADAVIA AV. 363,7,1001010
RIVADAVIA AV. 363,91,1001010
RIVADAVIA AV. 363,126,1001014
RIVADAVIA AV. 363,50,1001014
RIVADAVIA AV. 363,111,1001019
RIVADAVIA AV. 363,146,1001019
RIVADAVIA AV. 363,56,1001019
RIVADAVIA AV. 371,29,1001021
RIVADAVIA AV. 371,64,1001021
DIAZ VELEZ AV. 3722,146,1002539
RIVADAVIA AV. y SANTIAGO DEL ESTERO sobre el metrobus,60,6356
"MITRE, BARTOLOME 3610",104,1002592
"YRIGOYEN, HIPOLITO AV. 1628",60,1001818
"YRIGOYEN, HIPOLITO AV. 1750",56,1001657
"YRIGOYEN, HIPOLITO AV. 1752",151,1001658
"YRIGOYEN, HIPOLITO AV. 1752",90,1001658
PASCO 212,95,1001120
"LINIERS VIRREY y YRIGOYEN, HIPOLITO AV. sobre el metrobus",88,6981
"PAZ, GRAL. AV. COLECTORA nan",124,1004484
BAIGORRIA 4689,109,1004468
BAIGORRIA 4689,124,1004468
BAIGORRIA 4689,47,1004468
CAMARONES 3406,47,1004070
BELGRANO AV. 3710,103,1001312
BELGRANO AV. 3710,2,1001312
REPUBLICA BOLIVARIANA DE VENEZUELA 2795,84,1001294
REPUBLICA BOLIVARIANA DE VENEZUELA 2795,98,1001294
MUÑIZ 274,103,1001485
"MOREAU DE JUSTO, ALICIA AV. 1600",111,1000064
"MOREAU DE JUSTO, ALICIA AV. 1600",20,1000064
"SAENZ PEÑA, LUIS, PRES. 822",60,1002034
HIDALGO 24,36,1003320
HIDALGO 24,84,1003320
"MORENO, JOSE MARIA AV. 395",25,1004305
"MORENO, JOSE MARIA AV. 395",42,1004305
COCHABAMBA y SAN JOSE sobre el metrobus,102,8586
AVELLANEDA AV. 2534,134,1002257
AVELLANEDA AV. 2534,172,1002257
AVELLANEDA AV. 2534,99,1002257
RIVADAVIA AV. 6178,49,1003254
NOGOYA 6112,109,1004554
NOGOYA 6112,47,1004554
PAVON y SAN JOSE sobre el metrobus,102,8903
PAVON y SAN JOSE sobre el metrobus,151,8903
PAVON y SAN JOSE sobre el metrobus,168,8903
RIVADAVIA AV. 6560,1,1002222
BOEDO AV. 1261,128,1001538
BOEDO AV. 1261,160,1001538
BOEDO AV. 1261,165,1001538
RIVADAVIA AV. 7945,88,1006362
RIVADAVIA AV. 8210,96,1006302
"OLMOS, AMBROSIO y SALTA sobre el metrobus",45,10063
LACARRA 10,5,1005398
RIVADAVIA AV. 9085,113,1006075
RIVADAVIA AV. 9418,182,1006325
RAFAELA y RIO GRANDE sobre el metrobus,46,10617
CARABOBO AV. 1189,133,1004671
"PERON, EVA AV. 2483",132,1003556
DIRECTORIO AV. y PITAGORAS sobre el metrobus,180,14345
DIRECTORIO AV. y PITAGORAS sobre el metrobus,4,14345
DIRECTORIO AV. y PITAGORAS sobre el metrobus,53,14345
DIRECTORIO AV. y PITAGORAS sobre el metrobus,55,14345
DIRECTORIO AV. y PITAGORAS sobre el metrobus,8,14345
DIRECTORIO AV. y PITAGORAS sobre el metrobus,96,14345
"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y PAZOS, JOSE sobre el metrobus",101,11816
"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y PAZOS, JOSE sobre el metrobus",143,11816
GRITO DE ASENCIO 3168,150,1005175
GRITO DE ASENCIO 3168,91,1005175
VARELA AV. 1791,76,1007035
"SUAREZ, JOSE LEON 993",4,1005774
"MORENO, PERITO AV. 1281",46,1006795
PEPIRI 1093,150,1005839
SAENZ AV. y TRAFUL sobre el metrobus,115,20353
SAENZ AV. y TRAFUL sobre el metrobus,91,20353
DIRECTORIO AV. 5349,104,1006588
DIRECTORIO AV. 5349,55,1006588
